id,label,degree,modularity_class,weighted degree,,
Shawn Stasiak,Shawn Stasiak,40,0,132,,
Bam Bam Bigelow,Bam Bam Bigelow,56,0,174,,
Sting,Sting,70,0,536,,
Ric Flair,Ric Flair,69,0,414,,
Billy Kidman,Billy Kidman,83,0,360,,
Rey Misterio,Rey Misterio,103,0,506,,
Elix Skipper,Elix Skipper,26,0,62,,
Kid Romeo,Kid Romeo,10,0,24,,
3-Count,3-Count,37,0,186,,
Evan Karagias,Evan Karagias,51,0,206,,
Shannon Moore,Shannon Moore,40,0,202,,
The Jung Dragons,The Jung Dragons,31,0,146,,
Kaz Hayashi,Kaz Hayashi,40,0,164,,
Yang,Yang,25,0,126,,
Shane Helms,Shane Helms,38,0,186,,
Chavo Guerrero Jr.,Chavo Guerrero Jr.,49,0,162,,
Booker T,Booker T,108,0,738,,
Scott Steiner,Scott Steiner,97,0,724,,
Chuck Palumbo,Chuck Palumbo,38,0,168,,
Lance Storm,Lance Storm,27,0,90,,
Mike Awesome,Mike Awesome,33,0,124,,
Jason Jett,Jason Jett,1,0,2,,
Disqo,Disqo,8,0,20,,
Kanyon,Kanyon,30,0,118,,
MI Smooth,MI Smooth,3,0,6,,
Rick Steiner,Rick Steiner,88,0,632,,
Konnan,Konnan,99,0,396,,
Lex Luger,Lex Luger,80,0,538,,
Diamond Dallas Page,Diamond Dallas Page,80,0,378,,
The Mamalukes,The Mamalukes,24,0,82,,
Big Vito,Big Vito,46,0,156,,
Johnny The Bull,Johnny The Bull,34,0,112,,
The Steiner Brothers,The Steiner Brothers,53,0,448,,
Dusty Rhodes,Dusty Rhodes,1,1,2,,
Jeff Jarrett,Jeff Jarrett,115,0,584,,
Hugh Morrus,Hugh Morrus,65,0,268,,
Air Raid,Air Raid,4,0,8,,
Air Paris,Air Paris,4,0,8,,
Air Styles,Air Styles,4,0,8,,
The Cat,The Cat,40,0,98,,
Totally Buff,Totally Buff,7,0,18,,
Buff Bagwell,Buff Bagwell,66,0,334,,
Goldust,Goldust,52,2,194,,
Jason Lee,Jason Lee,3,0,6,,
Johnny Swinger,Johnny Swinger,18,0,42,,
Road Warrior Animal,Road Warrior Animal,88,3,402,,
Bryan Clarke,Bryan Clarke,44,0,198,,
Jamie Knoble,Jamie Knoble,10,0,28,,
Lash LeRoux,Lash LeRoux,30,0,74,,
Kevin Nash,Kevin Nash,100,0,556,,
Crush,Crush,76,0,340,,
The Franchise,The Franchise,22,0,66,,
Crowbar,Crowbar,29,0,84,,
General Rection,General Rection,23,0,64,,
KroniK,KroniK,43,0,196,,
Big Ron,Big Ron,41,0,134,,
Dewayne Bruce,Dewayne Bruce,4,1,8,,
Goldberg,Goldberg,70,0,302,,
Sycho Sid,Sycho Sid,63,0,263,,
Alex Wright,Alex Wright,69,0,220,,
Terry Funk,Terry Funk,57,3,142,,
Meng,Meng,76,0,362,,
Kwee Wee,Kwee Wee,11,0,24,,
The Insiders,The Insiders,6,0,16,,
Corporal Cajun,Corporal Cajun,30,0,86,,
Lt. Loco,Lt. Loco,26,0,72,,
Reno,Reno,17,0,46,,
Mark Jindrak,Mark Jindrak,39,0,152,,
The Boogie Knights,The Boogie Knights,6,0,16,,
Stevie Ray,Stevie Ray,92,0,620,,
Jim Duggan,Jim Duggan,26,0,72,,
Mike Sanders,Mike Sanders,16,0,64,,
The Perfect Event,The Perfect Event,20,0,60,,
David Flair,David Flair,40,0,114,,
The Harris Brothers,The Harris Brothers,46,0,146,,
Heavy D,Heavy D,38,0,122,,
Vampiro,Vampiro,62,0,196,,
Sgt. A-WOL,Sgt. A-WOL,18,0,36,,
The Insane Clown Posse,The Insane Clown Posse,11,0,40,,
Shaggy 2 Dope,Shaggy 2 Dope,29,0,86,,
Violent J,Violent J,29,0,84,,
Vince Russo,Vince Russo,13,0,36,,
Juventud Guerrera,Juventud Guerrera,84,0,404,,
The Misfits In Action,The Misfits In Action,21,0,46,,
Jamie-San,Jamie-San,26,0,102,,
Team Canada,Team Canada,7,0,14,,
Tygress,Tygress,13,0,36,,
The Natural Born Thrillers,The Natural Born Thrillers,12,0,56,,
Torrie Wilson,Torrie Wilson,7,0,14,,
Paisley,Paisley,9,0,22,,
Ms. Jones,Ms. Jones,1,1,2,,
Alundra Blayze,Alundra Blayze,19,0,46,,
The Great Muta,The Great Muta,26,0,78,,
Dark Carnival,Dark Carnival,10,0,22,,
The Filthy Animals,The Filthy Animals,15,0,52,,
Disco Inferno,Disco Inferno,87,0,276,,
Major Gunns,Major Gunns,7,0,18,,
Tank Abbott,Tank Abbott,19,0,42,,
Norman Smiley,Norman Smiley,45,0,124,,
The Demon,The Demon,10,0,28,,
Carl Ouellet,Carl Ouellet,31,0,154,,
The Dark Carnival,The Dark Carnival,7,0,14,,
Pamela Paulshock,Pamela Paulshock,2,1,4,,
The Artist,The Artist,7,0,16,,
Miss Hancock,Miss Hancock,6,0,14,,
Ralphus,Ralphus,3,0,8,,
Positively Kanyon,Positively Kanyon,3,1,8,,
Chris Candido,Chris Candido,25,0,52,,
Horace Hogan,Horace Hogan,43,0,122,,
Reid Flair,Reid Flair,3,1,6,,
Hulk Hogan,Hulk Hogan,41,0,296,,
GI Bro,GI Bro,2,0,4,,
The New Blood,The New Blood,12,0,24,,
Shane Douglas,Shane Douglas,30,0,84,,
Kimberly,Kimberly,3,0,6,,
Eric Bischoff,Eric Bischoff,4,1,8,,
The Wall,The Wall,19,0,52,,
Daffney,Daffney,4,0,10,,
Elizabeth,Elizabeth,2,0,4,,
Tammy,Tammy,5,0,12,,
Captain Rection,Captain Rection,1,0,2,,
Harlem Heat,Harlem Heat,78,0,506,,
Ahmed Johnson,Ahmed Johnson,44,2,152,,
The Total Package,The Total Package,26,0,92,,
David Arquette,David Arquette,2,1,4,,
Team Package,Team Package,9,0,26,,
Curt Hennig,Curt Hennig,54,0,224,,
La Parka,La Parka,43,0,192,,
Michael Modest,Michael Modest,1,0,2,,
TAFKA Prince Iaukea,TAFKA Prince Iaukea,6,0,14,,
Kaz,Kaz,12,0,30,,
Fit Finlay,Fit Finlay,34,0,102,,
The Barbarian,The Barbarian,75,0,394,,
Lane,Lane,12,0,26,,
Rave,Rave,3,1,6,,
The Dog,The Dog,2,0,4,,
Brian Knobbs,Brian Knobbs,48,0,190,,
Psychosis,Psychosis,47,0,278,,
The Stro,The Stro,2,1,4,,
Idol,Idol,4,0,8,,
Chris Kanyon,Chris Kanyon,8,0,20,,
Rick Fuller,Rick Fuller,10,0,26,,
Rhonda Singh,Rhonda Singh,3,0,6,,
Mona,Mona,4,0,10,,
Scott Hall,Scott Hall,71,0,398,,
