ID,Source,Target,Type,Label,Year
1,Shawn Stasiak,Bam Bam Bigelow,undirected,World Championship Wrestling,2001
2,Bam Bam Bigelow,Shawn Stasiak,undirected,World Championship Wrestling,2001
3,Sting,Ric Flair,undirected,World Championship Wrestling,2001
4,Ric Flair,Sting,undirected,World Championship Wrestling,2001
5,Billy Kidman,Rey Mysterio Jr.,undirected,World Championship Wrestling,2001
6,Billy Kidman,Elix Skipper,undirected,World Championship Wrestling,2001
7,Billy Kidman,Kid Romeo,undirected,World Championship Wrestling,2001
8,Rey Mysterio Jr.,Billy Kidman,undirected,World Championship Wrestling,2001
9,Rey Mysterio Jr.,Elix Skipper,undirected,World Championship Wrestling,2001
10,Rey Mysterio Jr.,Kid Romeo,undirected,World Championship Wrestling,2001
11,Elix Skipper,Billy Kidman,undirected,World Championship Wrestling,2001
12,Elix Skipper,Rey Mysterio Jr.,undirected,World Championship Wrestling,2001
13,Elix Skipper,Kid Romeo,undirected,World Championship Wrestling,2001
14,Kid Romeo,Billy Kidman,undirected,World Championship Wrestling,2001
15,Kid Romeo,Rey Mysterio Jr.,undirected,World Championship Wrestling,2001
16,Kid Romeo,Elix Skipper,undirected,World Championship Wrestling,2001
17,Billy Kidman,Rey Mysterio Jr.,undirected,World Championship Wrestling,2001
18,Billy Kidman,3-Count,undirected,World Championship Wrestling,2001
19,Billy Kidman,Evan Karagias,undirected,World Championship Wrestling,2001
20,Billy Kidman,Shannon Moore,undirected,World Championship Wrestling,2001
21,Billy Kidman,The Jung Dragons,undirected,World Championship Wrestling,2001
22,Billy Kidman,Kaz Hayashi,undirected,World Championship Wrestling,2001
23,Billy Kidman,Yang,undirected,World Championship Wrestling,2001
24,Rey Mysterio Jr.,Billy Kidman,undirected,World Championship Wrestling,2001
25,Rey Mysterio Jr.,3-Count,undirected,World Championship Wrestling,2001
26,Rey Mysterio Jr.,Evan Karagias,undirected,World Championship Wrestling,2001
27,Rey Mysterio Jr.,Shannon Moore,undirected,World Championship Wrestling,2001
28,Rey Mysterio Jr.,The Jung Dragons,undirected,World Championship Wrestling,2001
29,Rey Mysterio Jr.,Kaz Hayashi,undirected,World Championship Wrestling,2001
30,Rey Mysterio Jr.,Yang,undirected,World Championship Wrestling,2001
31,3-Count,Billy Kidman,undirected,World Championship Wrestling,2001
32,3-Count,Rey Mysterio Jr.,undirected,World Championship Wrestling,2001
33,3-Count,Evan Karagias,undirected,World Championship Wrestling,2001
34,3-Count,Shannon Moore,undirected,World Championship Wrestling,2001
35,3-Count,The Jung Dragons,undirected,World Championship Wrestling,2001
36,3-Count,Kaz Hayashi,undirected,World Championship Wrestling,2001
37,3-Count,Yang,undirected,World Championship Wrestling,2001
38,Evan Karagias,Billy Kidman,undirected,World Championship Wrestling,2001
39,Evan Karagias,Rey Mysterio Jr.,undirected,World Championship Wrestling,2001
40,Evan Karagias,3-Count,undirected,World Championship Wrestling,2001
41,Evan Karagias,Shannon Moore,undirected,World Championship Wrestling,2001
42,Evan Karagias,The Jung Dragons,undirected,World Championship Wrestling,2001
43,Evan Karagias,Kaz Hayashi,undirected,World Championship Wrestling,2001
44,Evan Karagias,Yang,undirected,World Championship Wrestling,2001
45,Shannon Moore,Billy Kidman,undirected,World Championship Wrestling,2001
46,Shannon Moore,Rey Mysterio Jr.,undirected,World Championship Wrestling,2001
47,Shannon Moore,3-Count,undirected,World Championship Wrestling,2001
48,Shannon Moore,Evan Karagias,undirected,World Championship Wrestling,2001
49,Shannon Moore,The Jung Dragons,undirected,World Championship Wrestling,2001
50,Shannon Moore,Kaz Hayashi,undirected,World Championship Wrestling,2001
51,Shannon Moore,Yang,undirected,World Championship Wrestling,2001
52,The Jung Dragons,Billy Kidman,undirected,World Championship Wrestling,2001
53,The Jung Dragons,Rey Mysterio Jr.,undirected,World Championship Wrestling,2001
54,The Jung Dragons,3-Count,undirected,World Championship Wrestling,2001
55,The Jung Dragons,Evan Karagias,undirected,World Championship Wrestling,2001
56,The Jung Dragons,Shannon Moore,undirected,World Championship Wrestling,2001
57,The Jung Dragons,Kaz Hayashi,undirected,World Championship Wrestling,2001
58,The Jung Dragons,Yang,undirected,World Championship Wrestling,2001
59,Kaz Hayashi,Billy Kidman,undirected,World Championship Wrestling,2001
60,Kaz Hayashi,Rey Mysterio Jr.,undirected,World Championship Wrestling,2001
61,Kaz Hayashi,3-Count,undirected,World Championship Wrestling,2001
62,Kaz Hayashi,Evan Karagias,undirected,World Championship Wrestling,2001
63,Kaz Hayashi,Shannon Moore,undirected,World Championship Wrestling,2001
64,Kaz Hayashi,The Jung Dragons,undirected,World Championship Wrestling,2001
65,Kaz Hayashi,Yang,undirected,World Championship Wrestling,2001
66,Yang,Billy Kidman,undirected,World Championship Wrestling,2001
67,Yang,Rey Mysterio Jr.,undirected,World Championship Wrestling,2001
68,Yang,3-Count,undirected,World Championship Wrestling,2001
69,Yang,Evan Karagias,undirected,World Championship Wrestling,2001
70,Yang,Shannon Moore,undirected,World Championship Wrestling,2001
71,Yang,The Jung Dragons,undirected,World Championship Wrestling,2001
72,Yang,Kaz Hayashi,undirected,World Championship Wrestling,2001
73,Shane Helms,Chavo Guerrero Jr.,undirected,World Championship Wrestling,2001
74,Chavo Guerrero Jr.,Shane Helms,undirected,World Championship Wrestling,2001
75,Booker T,Scott Steiner,undirected,World Championship Wrestling,2001
76,Scott Steiner,Booker T,undirected,World Championship Wrestling,2001
77,Chuck Palumbo,Lance Storm,undirected,World Championship Wrestling,2001
78,Chuck Palumbo,Mike Awesome,undirected,World Championship Wrestling,2001
79,Lance Storm,Chuck Palumbo,undirected,World Championship Wrestling,2001
80,Lance Storm,Mike Awesome,undirected,World Championship Wrestling,2001
81,Mike Awesome,Chuck Palumbo,undirected,World Championship Wrestling,2001
82,Mike Awesome,Lance Storm,undirected,World Championship Wrestling,2001
83,Bam Bam Bigelow,Shawn Stasiak,undirected,World Championship Wrestling,2001
84,Shawn Stasiak,Bam Bam Bigelow,undirected,World Championship Wrestling,2001
85,Jason Jett,Disqo,undirected,World Championship Wrestling,2001
86,Disqo,Jason Jett,undirected,World Championship Wrestling,2001
87,Kanyon,MI Smooth,undirected,World Championship Wrestling,2001
88,MI Smooth,Kanyon,undirected,World Championship Wrestling,2001
89,Lance Storm,Mike Awesome,undirected,World Championship Wrestling,2001
90,Lance Storm,Chuck Palumbo,undirected,World Championship Wrestling,2001
91,Mike Awesome,Lance Storm,undirected,World Championship Wrestling,2001
92,Mike Awesome,Chuck Palumbo,undirected,World Championship Wrestling,2001
93,Chuck Palumbo,Lance Storm,undirected,World Championship Wrestling,2001
94,Chuck Palumbo,Mike Awesome,undirected,World Championship Wrestling,2001
95,Rick Steiner,Konnan,undirected,World Championship Wrestling,2001
96,Konnan,Rick Steiner,undirected,World Championship Wrestling,2001
97,Shane Helms,Billy Kidman,undirected,World Championship Wrestling,2001
98,Billy Kidman,Shane Helms,undirected,World Championship Wrestling,2001
