ID,Source,Target,Type,Label,Promotion,Date
1,Shawn Stasiak,Bam Bam Bigelow,Undirected,Shawn Stasiak,World Championship Wrestling,3/26/01
2,Bam Bam Bigelow,Shawn Stasiak,Undirected,Bam Bam Bigelow,World Championship Wrestling,3/26/01
3,Sting,Ric Flair,Undirected,Sting,World Championship Wrestling,3/26/01
4,Ric Flair,Sting,Undirected,Ric Flair,World Championship Wrestling,3/26/01
5,Billy Kidman,Rey Misterio,Undirected,Billy Billy Kidman,World Championship Wrestling,3/26/01
6,Billy Kidman,Elix Skipper,Undirected,Billy Billy Kidman,World Championship Wrestling,3/26/01
7,Billy Kidman,Kid Romeo,Undirected,Billy Billy Kidman,World Championship Wrestling,3/26/01
8,Rey Misterio,Billy Kidman,Undirected,Rey Misterio,World Championship Wrestling,3/26/01
9,Rey Misterio,Elix Skipper,Undirected,Rey Misterio,World Championship Wrestling,3/26/01
10,Rey Misterio,Kid Romeo,Undirected,Rey Misterio,World Championship Wrestling,3/26/01
11,Elix Skipper,Billy Kidman,Undirected,Elix Skipper,World Championship Wrestling,3/26/01
12,Elix Skipper,Rey Misterio,Undirected,Elix Skipper,World Championship Wrestling,3/26/01
13,Elix Skipper,Kid Romeo,Undirected,Elix Skipper,World Championship Wrestling,3/26/01
14,Kid Romeo,Billy Kidman,Undirected,Kid Romeo,World Championship Wrestling,3/26/01
15,Kid Romeo,Rey Misterio,Undirected,Kid Romeo,World Championship Wrestling,3/26/01
16,Kid Romeo,Elix Skipper,Undirected,Kid Romeo,World Championship Wrestling,3/26/01
17,Billy Kidman,Rey Misterio,Undirected,Billy Billy Kidman,World Championship Wrestling,3/26/01
18,Billy Kidman,3-Count,Undirected,Billy Billy Kidman,World Championship Wrestling,3/26/01
19,Billy Kidman,Evan Karagias,Undirected,Billy Billy Kidman,World Championship Wrestling,3/26/01
20,Billy Kidman,Shannon Moore,Undirected,Billy Billy Kidman,World Championship Wrestling,3/26/01
21,Billy Kidman,The Jung Dragons,Undirected,Billy Billy Kidman,World Championship Wrestling,3/26/01
22,Billy Kidman,Kaz Hayashi,Undirected,Billy Billy Kidman,World Championship Wrestling,3/26/01
23,Billy Kidman,Yang,Undirected,Billy Billy Kidman,World Championship Wrestling,3/26/01
24,Rey Misterio,Billy Kidman,Undirected,Rey Misterio,World Championship Wrestling,3/26/01
25,Rey Misterio,3-Count,Undirected,Rey Misterio,World Championship Wrestling,3/26/01
26,Rey Misterio,Evan Karagias,Undirected,Rey Misterio,World Championship Wrestling,3/26/01
27,Rey Misterio,Shannon Moore,Undirected,Rey Misterio,World Championship Wrestling,3/26/01
28,Rey Misterio,The Jung Dragons,Undirected,Rey Misterio,World Championship Wrestling,3/26/01
29,Rey Misterio,Kaz Hayashi,Undirected,Rey Misterio,World Championship Wrestling,3/26/01
30,Rey Misterio,Yang,Undirected,Rey Misterio,World Championship Wrestling,3/26/01
31,3-Count,Billy Kidman,Undirected,3-Count,World Championship Wrestling,3/26/01
32,3-Count,Rey Misterio,Undirected,3-Count,World Championship Wrestling,3/26/01
33,3-Count,Evan Karagias,Undirected,3-Count,World Championship Wrestling,3/26/01
34,3-Count,Shannon Moore,Undirected,3-Count,World Championship Wrestling,3/26/01
35,3-Count,The Jung Dragons,Undirected,3-Count,World Championship Wrestling,3/26/01
36,3-Count,Kaz Hayashi,Undirected,3-Count,World Championship Wrestling,3/26/01
37,3-Count,Yang,Undirected,3-Count,World Championship Wrestling,3/26/01
38,Evan Karagias,Billy Kidman,Undirected,Evan Karagias,World Championship Wrestling,3/26/01
39,Evan Karagias,Rey Misterio,Undirected,Evan Karagias,World Championship Wrestling,3/26/01
40,Evan Karagias,3-Count,Undirected,Evan Karagias,World Championship Wrestling,3/26/01
41,Evan Karagias,Shannon Moore,Undirected,Evan Karagias,World Championship Wrestling,3/26/01
42,Evan Karagias,The Jung Dragons,Undirected,Evan Karagias,World Championship Wrestling,3/26/01
43,Evan Karagias,Kaz Hayashi,Undirected,Evan Karagias,World Championship Wrestling,3/26/01
44,Evan Karagias,Yang,Undirected,Evan Karagias,World Championship Wrestling,3/26/01
45,Shannon Moore,Billy Kidman,Undirected,Shannon Moore,World Championship Wrestling,3/26/01
46,Shannon Moore,Rey Misterio,Undirected,Shannon Moore,World Championship Wrestling,3/26/01
47,Shannon Moore,3-Count,Undirected,Shannon Moore,World Championship Wrestling,3/26/01
48,Shannon Moore,Evan Karagias,Undirected,Shannon Moore,World Championship Wrestling,3/26/01
49,Shannon Moore,The Jung Dragons,Undirected,Shannon Moore,World Championship Wrestling,3/26/01
50,Shannon Moore,Kaz Hayashi,Undirected,Shannon Moore,World Championship Wrestling,3/26/01
51,Shannon Moore,Yang,Undirected,Shannon Moore,World Championship Wrestling,3/26/01
52,The Jung Dragons,Billy Kidman,Undirected,The Jung Dragons,World Championship Wrestling,3/26/01
53,The Jung Dragons,Rey Misterio,Undirected,The Jung Dragons,World Championship Wrestling,3/26/01
54,The Jung Dragons,3-Count,Undirected,The Jung Dragons,World Championship Wrestling,3/26/01
55,The Jung Dragons,Evan Karagias,Undirected,The Jung Dragons,World Championship Wrestling,3/26/01
56,The Jung Dragons,Shannon Moore,Undirected,The Jung Dragons,World Championship Wrestling,3/26/01
57,The Jung Dragons,Kaz Hayashi,Undirected,The Jung Dragons,World Championship Wrestling,3/26/01
58,The Jung Dragons,Yang,Undirected,The Jung Dragons,World Championship Wrestling,3/26/01
59,Kaz Hayashi,Billy Kidman,Undirected,Kaz Hayashi,World Championship Wrestling,3/26/01
60,Kaz Hayashi,Rey Misterio,Undirected,Kaz Hayashi,World Championship Wrestling,3/26/01
61,Kaz Hayashi,3-Count,Undirected,Kaz Hayashi,World Championship Wrestling,3/26/01
62,Kaz Hayashi,Evan Karagias,Undirected,Kaz Hayashi,World Championship Wrestling,3/26/01
63,Kaz Hayashi,Shannon Moore,Undirected,Kaz Hayashi,World Championship Wrestling,3/26/01
64,Kaz Hayashi,The Jung Dragons,Undirected,Kaz Hayashi,World Championship Wrestling,3/26/01
65,Kaz Hayashi,Yang,Undirected,Kaz Hayashi,World Championship Wrestling,3/26/01
66,Yang,Billy Kidman,Undirected,Yang,World Championship Wrestling,3/26/01
67,Yang,Rey Misterio,Undirected,Yang,World Championship Wrestling,3/26/01
68,Yang,3-Count,Undirected,Yang,World Championship Wrestling,3/26/01
69,Yang,Evan Karagias,Undirected,Yang,World Championship Wrestling,3/26/01
70,Yang,Shannon Moore,Undirected,Yang,World Championship Wrestling,3/26/01
71,Yang,The Jung Dragons,Undirected,Yang,World Championship Wrestling,3/26/01
72,Yang,Kaz Hayashi,Undirected,Yang,World Championship Wrestling,3/26/01
73,Shane Helms,Chavo Guerrero Jr.,Undirected,Shane Helms,World Championship Wrestling,3/26/01
74,Chavo Guerrero Jr.,Shane Helms,Undirected,Chavo Guerrero Jr.,World Championship Wrestling,3/26/01
75,Booker T,Scott Steiner,Undirected,Booker T T T,World Championship Wrestling,3/26/01
76,Scott Steiner,Booker T,Undirected,Scott Steiner,World Championship Wrestling,3/26/01
77,Chuck Palumbo,Lance Storm,Undirected,Chuck Palumbo,World Championship Wrestling,3/26/01
78,Chuck Palumbo,Mike Awesome,Undirected,Chuck Palumbo,World Championship Wrestling,3/26/01
79,Lance Storm,Chuck Palumbo,Undirected,Lance Storm,World Championship Wrestling,3/26/01
80,Lance Storm,Mike Awesome,Undirected,Lance Storm,World Championship Wrestling,3/26/01
81,Mike Awesome,Chuck Palumbo,Undirected,Mike Awesome,World Championship Wrestling,3/26/01
82,Mike Awesome,Lance Storm,Undirected,Mike Awesome,World Championship Wrestling,3/26/01
83,Bam Bam Bigelow,Shawn Stasiak,Undirected,Bam Bam Bigelow,World Championship Wrestling,3/19/01
84,Shawn Stasiak,Bam Bam Bigelow,Undirected,Shawn Stasiak,World Championship Wrestling,3/19/01
85,Jason Jett,Disqo,Undirected,Jason Jett,World Championship Wrestling,3/19/01
86,Disqo,Jason Jett,Undirected,Disqo,World Championship Wrestling,3/19/01
87,Kanyon,MI Smooth,Undirected,Kanyon,World Championship Wrestling,3/19/01
88,MI Smooth,Kanyon,Undirected,MI Smooth,World Championship Wrestling,3/19/01
89,Lance Storm,Mike Awesome,Undirected,Lance Storm,World Championship Wrestling,3/19/01
90,Lance Storm,Chuck Palumbo,Undirected,Lance Storm,World Championship Wrestling,3/19/01
91,Mike Awesome,Lance Storm,Undirected,Mike Awesome,World Championship Wrestling,3/19/01
92,Mike Awesome,Chuck Palumbo,Undirected,Mike Awesome,World Championship Wrestling,3/19/01
93,Chuck Palumbo,Lance Storm,Undirected,Chuck Palumbo,World Championship Wrestling,3/19/01
94,Chuck Palumbo,Mike Awesome,Undirected,Chuck Palumbo,World Championship Wrestling,3/19/01
95,Rick Steiner,Konnan,Undirected,Rick Steiner,World Championship Wrestling,3/19/01
96,Konnan,Rick Steiner,Undirected,Konnan,World Championship Wrestling,3/19/01
97,Shane Helms,Billy Kidman,Undirected,Shane Helms,World Championship Wrestling,3/19/01
98,Billy Kidman,Shane Helms,Undirected,Billy Billy Kidman,World Championship Wrestling,3/19/01
99,Booker T,Lex Luger,Undirected,Booker T T T,World Championship Wrestling,3/12/01
100,Lex Luger,Booker T,Undirected,Lex Luger,World Championship Wrestling,3/12/01
101,Diamond Dallas Page,Rick Steiner,Undirected,Diamond Dallas Page,World Championship Wrestling,3/12/01
102,Rick Steiner,Diamond Dallas Page,Undirected,Rick Steiner,World Championship Wrestling,3/12/01
103,Lance Storm,Mike Awesome,Undirected,Lance Storm,World Championship Wrestling,3/12/01
104,Lance Storm,The Mamalukes,Undirected,Lance Storm,World Championship Wrestling,3/12/01
105,Lance Storm,Big Vito,Undirected,Lance Storm,World Championship Wrestling,3/12/01
106,Lance Storm,Johnny The Bull,Undirected,Lance Storm,World Championship Wrestling,3/12/01
107,Mike Awesome,Lance Storm,Undirected,Mike Awesome,World Championship Wrestling,3/12/01
108,Mike Awesome,The Mamalukes,Undirected,Mike Awesome,World Championship Wrestling,3/12/01
109,Mike Awesome,Big Vito,Undirected,Mike Awesome,World Championship Wrestling,3/12/01
110,Mike Awesome,Johnny The Bull,Undirected,Mike Awesome,World Championship Wrestling,3/12/01
111,The Mamalukes,Lance Storm,Undirected,The Mamalukes,World Championship Wrestling,3/12/01
112,The Mamalukes,Mike Awesome,Undirected,The Mamalukes,World Championship Wrestling,3/12/01
113,The Mamalukes,Big Vito,Undirected,The Mamalukes,World Championship Wrestling,3/12/01
114,The Mamalukes,Johnny The Bull,Undirected,The Mamalukes,World Championship Wrestling,3/12/01
115,Big Vito,Lance Storm,Undirected,Big Vito,World Championship Wrestling,3/12/01
116,Big Vito,Mike Awesome,Undirected,Big Vito,World Championship Wrestling,3/12/01
117,Big Vito,The Mamalukes,Undirected,Big Vito,World Championship Wrestling,3/12/01
118,Big Vito,Johnny The Bull,Undirected,Big Vito,World Championship Wrestling,3/12/01
119,Johnny The Bull,Lance Storm,Undirected,Johnny The Bull,World Championship Wrestling,3/12/01
120,Johnny The Bull,Mike Awesome,Undirected,Johnny The Bull,World Championship Wrestling,3/12/01
121,Johnny The Bull,The Mamalukes,Undirected,Johnny The Bull,World Championship Wrestling,3/12/01
122,Johnny The Bull,Big Vito,Undirected,Johnny The Bull,World Championship Wrestling,3/12/01
123,Shane Helms,Evan Karagias,Undirected,Shane Helms,World Championship Wrestling,3/12/01
124,Evan Karagias,Shane Helms,Undirected,Evan Karagias,World Championship Wrestling,3/12/01
125,Elix Skipper,Kid Romeo,Undirected,Elix Skipper,World Championship Wrestling,3/12/01
126,Elix Skipper,The Jung Dragons,Undirected,Elix Skipper,World Championship Wrestling,3/12/01
127,Elix Skipper,Kaz Hayashi,Undirected,Elix Skipper,World Championship Wrestling,3/12/01
128,Elix Skipper,Yang,Undirected,Elix Skipper,World Championship Wrestling,3/12/01
129,Kid Romeo,Elix Skipper,Undirected,Kid Romeo,World Championship Wrestling,3/12/01
130,Kid Romeo,The Jung Dragons,Undirected,Kid Romeo,World Championship Wrestling,3/12/01
131,Kid Romeo,Kaz Hayashi,Undirected,Kid Romeo,World Championship Wrestling,3/12/01
132,Kid Romeo,Yang,Undirected,Kid Romeo,World Championship Wrestling,3/12/01
133,The Jung Dragons,Elix Skipper,Undirected,The Jung Dragons,World Championship Wrestling,3/12/01
134,The Jung Dragons,Kid Romeo,Undirected,The Jung Dragons,World Championship Wrestling,3/12/01
135,The Jung Dragons,Kaz Hayashi,Undirected,The Jung Dragons,World Championship Wrestling,3/12/01
136,The Jung Dragons,Yang,Undirected,The Jung Dragons,World Championship Wrestling,3/12/01
137,Kaz Hayashi,Elix Skipper,Undirected,Kaz Hayashi,World Championship Wrestling,3/12/01
138,Kaz Hayashi,Kid Romeo,Undirected,Kaz Hayashi,World Championship Wrestling,3/12/01
139,Kaz Hayashi,The Jung Dragons,Undirected,Kaz Hayashi,World Championship Wrestling,3/12/01
140,Kaz Hayashi,Yang,Undirected,Kaz Hayashi,World Championship Wrestling,3/12/01
141,Yang,Elix Skipper,Undirected,Yang,World Championship Wrestling,3/12/01
142,Yang,Kid Romeo,Undirected,Yang,World Championship Wrestling,3/12/01
143,Yang,The Jung Dragons,Undirected,Yang,World Championship Wrestling,3/12/01
144,Yang,Kaz Hayashi,Undirected,Yang,World Championship Wrestling,3/12/01
145,Booker T,Diamond Dallas Page,Undirected,Booker T T T,World Championship Wrestling,3/5/01
146,Booker T,The Steiner Brothers,Undirected,Booker T T T,World Championship Wrestling,3/5/01
147,Booker T,Rick Steiner,Undirected,Booker T T T,World Championship Wrestling,3/5/01
148,Booker T,Scott Steiner,Undirected,Booker T T T,World Championship Wrestling,3/5/01
149,Diamond Dallas Page,Booker T,Undirected,Diamond Dallas Page,World Championship Wrestling,3/5/01
150,Diamond Dallas Page,The Steiner Brothers,Undirected,Diamond Dallas Page,World Championship Wrestling,3/5/01
151,Diamond Dallas Page,Rick Steiner,Undirected,Diamond Dallas Page,World Championship Wrestling,3/5/01
152,Diamond Dallas Page,Scott Steiner,Undirected,Diamond Dallas Page,World Championship Wrestling,3/5/01
153,The Steiner Brothers,Booker T,Undirected,The Steiner Brothers,World Championship Wrestling,3/5/01
154,The Steiner Brothers,Diamond Dallas Page,Undirected,The Steiner Brothers,World Championship Wrestling,3/5/01
155,The Steiner Brothers,Rick Steiner,Undirected,The Steiner Brothers,World Championship Wrestling,3/5/01
156,The Steiner Brothers,Scott Steiner,Undirected,The Steiner Brothers,World Championship Wrestling,3/5/01
157,Rick Steiner,Booker T,Undirected,Rick Steiner,World Championship Wrestling,3/5/01
158,Rick Steiner,Diamond Dallas Page,Undirected,Rick Steiner,World Championship Wrestling,3/5/01
159,Rick Steiner,The Steiner Brothers,Undirected,Rick Steiner,World Championship Wrestling,3/5/01
160,Rick Steiner,Scott Steiner,Undirected,Rick Steiner,World Championship Wrestling,3/5/01
161,Scott Steiner,Booker T,Undirected,Scott Steiner,World Championship Wrestling,3/5/01
162,Scott Steiner,Diamond Dallas Page,Undirected,Scott Steiner,World Championship Wrestling,3/5/01
163,Scott Steiner,The Steiner Brothers,Undirected,Scott Steiner,World Championship Wrestling,3/5/01
164,Scott Steiner,Rick Steiner,Undirected,Scott Steiner,World Championship Wrestling,3/5/01
165,Booker T,Rick Steiner,Undirected,Booker T T T,World Championship Wrestling,3/5/01
166,Rick Steiner,Booker T,Undirected,Rick Steiner,World Championship Wrestling,3/5/01
167,Chavo Guerrero Jr.,Shane Helms,Undirected,Chavo Guerrero Jr.,World Championship Wrestling,3/5/01
168,Shane Helms,Chavo Guerrero Jr.,Undirected,Shane Helms,World Championship Wrestling,3/5/01
169,Dusty Rhodes,Jeff Jarrett,Undirected,Dusty Rhodes,World Championship Wrestling,3/5/01
170,Jeff Jarrett,Dusty Rhodes,Undirected,Jeff Jarrett,World Championship Wrestling,3/5/01
171,Hugh Morrus,Mike Awesome,Undirected,Hugh Morrus,World Championship Wrestling,3/5/01
172,Mike Awesome,Hugh Morrus,Undirected,Mike Awesome,World Championship Wrestling,3/5/01
173,Elix Skipper,Kid Romeo,Undirected,Elix Skipper,World Championship Wrestling,3/5/01
174,Elix Skipper,Air Raid,Undirected,Elix Skipper,World Championship Wrestling,3/5/01
175,Elix Skipper,Air Paris,Undirected,Elix Skipper,World Championship Wrestling,3/5/01
176,Elix Skipper,Air Styles,Undirected,Elix Skipper,World Championship Wrestling,3/5/01
177,Kid Romeo,Elix Skipper,Undirected,Kid Romeo,World Championship Wrestling,3/5/01
178,Kid Romeo,Air Raid,Undirected,Kid Romeo,World Championship Wrestling,3/5/01
179,Kid Romeo,Air Paris,Undirected,Kid Romeo,World Championship Wrestling,3/5/01
180,Kid Romeo,Air Styles,Undirected,Kid Romeo,World Championship Wrestling,3/5/01
181,Air Raid,Elix Skipper,Undirected,Air Raid,World Championship Wrestling,3/5/01
182,Air Raid,Kid Romeo,Undirected,Air Raid,World Championship Wrestling,3/5/01
183,Air Raid,Air Paris,Undirected,Air Raid,World Championship Wrestling,3/5/01
184,Air Raid,Air Styles,Undirected,Air Raid,World Championship Wrestling,3/5/01
185,Air Paris,Elix Skipper,Undirected,Air Paris,World Championship Wrestling,3/5/01
186,Air Paris,Kid Romeo,Undirected,Air Paris,World Championship Wrestling,3/5/01
187,Air Paris,Air Raid,Undirected,Air Paris,World Championship Wrestling,3/5/01
188,Air Paris,Air Styles,Undirected,Air Paris,World Championship Wrestling,3/5/01
189,Air Styles,Elix Skipper,Undirected,Air Styles,World Championship Wrestling,3/5/01
190,Air Styles,Kid Romeo,Undirected,Air Styles,World Championship Wrestling,3/5/01
191,Air Styles,Air Raid,Undirected,Air Styles,World Championship Wrestling,3/5/01
192,Air Styles,Air Paris,Undirected,Air Styles,World Championship Wrestling,3/5/01
193,Booker T,Diamond Dallas Page,Undirected,Booker T T T,World Championship Wrestling,2/26/01
194,Booker T,The Cat,Undirected,Booker T T T,World Championship Wrestling,2/26/01
195,Booker T,Scott Steiner,Undirected,Booker T T T,World Championship Wrestling,2/26/01
196,Booker T,Totally Buff,Undirected,Booker T T T,World Championship Wrestling,2/26/01
197,Booker T,Buff Bagwell,Undirected,Booker T T T,World Championship Wrestling,2/26/01
198,Booker T,Lex Luger,Undirected,Booker T T T,World Championship Wrestling,2/26/01
199,Diamond Dallas Page,Booker T,Undirected,Diamond Dallas Page,World Championship Wrestling,2/26/01
200,Diamond Dallas Page,The Cat,Undirected,Diamond Dallas Page,World Championship Wrestling,2/26/01
201,Diamond Dallas Page,Scott Steiner,Undirected,Diamond Dallas Page,World Championship Wrestling,2/26/01
202,Diamond Dallas Page,Totally Buff,Undirected,Diamond Dallas Page,World Championship Wrestling,2/26/01
203,Diamond Dallas Page,Buff Bagwell,Undirected,Diamond Dallas Page,World Championship Wrestling,2/26/01
204,Diamond Dallas Page,Lex Luger,Undirected,Diamond Dallas Page,World Championship Wrestling,2/26/01
205,The Cat,Booker T,Undirected,The Cat,World Championship Wrestling,2/26/01
206,The Cat,Diamond Dallas Page,Undirected,The Cat,World Championship Wrestling,2/26/01
207,The Cat,Scott Steiner,Undirected,The Cat,World Championship Wrestling,2/26/01
208,The Cat,Totally Buff,Undirected,The Cat,World Championship Wrestling,2/26/01
209,The Cat,Buff Bagwell,Undirected,The Cat,World Championship Wrestling,2/26/01
