Date,Nitro,Raw,Who won
1995-09-04T00:00:00Z,2.9,,Nitro Wins
1995-09-11T00:00:00Z,2.5,2.2,Nitro Wins
1995-09-18T00:00:00Z,2.4,2.5,Raw Wins
1995-09-25T00:00:00Z,2.7,1.9,Nitro Wins
1995-10-02T00:00:00Z,2.5,2.5,Raw Wins
1995-10-09T00:00:00Z,2.6,2.6,Raw Wins
1995-10-16T00:00:00Z,2.2,2.5,Raw Wins
1995-10-23T00:00:00Z,2.2,2.6,Raw Wins
1995-10-30T00:00:00Z,2.5,2.2,Nitro Wins
1995-11-06T00:00:00Z,2.3,2.1,Nitro Wins
1995-11-13T00:00:00Z,2,2.6,Raw Wins
1995-11-20T00:00:00Z,2.5,2.3,Nitro Wins
1995-11-27T00:00:00Z,2.3,2.5,Raw Wins
1995-12-04T00:00:00Z,2.6,2.4,Nitro Wins
1995-12-11T00:00:00Z,2.6,2.5,Nitro Wins
1995-12-18T00:00:00Z,2.7,2.3,Nitro Wins
1995-12-25T00:00:00Z,2.5,,Nitro Wins
1996-01-01T00:00:00Z,2.5,2.6,Raw Wins
1996-01-08T00:00:00Z,2.8,3,Raw Wins
1996-01-15T00:00:00Z,3.5,2.4,Nitro Wins
1996-01-22T00:00:00Z,2.7,2.9,Raw Wins
1996-01-29T00:00:00Z,2.8,2.4,Nitro Wins
1996-02-05T00:00:00Z,2.9,2.7,Nitro Wins
1996-02-12T00:00:00Z,3.7,,Nitro Wins
1996-02-19T00:00:00Z,2.9,3.1,Raw Wins
1996-02-26T00:00:00Z,3.2,3.1,Nitro Wins
1996-03-04T00:00:00Z,,3.6,Raw Wins
1996-03-11T00:00:00Z,3.2,2.9,Nitro Wins
1996-03-18T00:00:00Z,3.6,2.9,Nitro Wins
1996-03-25T00:00:00Z,3.1,2.8,Nitro Wins
1996-04-01T00:00:00Z,2.8,2.9,Raw Wins
1996-04-08T00:00:00Z,,4.7,Raw Wins
1996-04-15T00:00:00Z,2.8,3.1,Raw Wins
1996-04-22T00:00:00Z,2.7,3.3,Raw Wins
1996-04-29T00:00:00Z,2.1,3.9,Raw Wins
1996-05-06T00:00:00Z,1.9,4.1,Raw Wins
1996-05-13T00:00:00Z,2.3,3.5,Raw Wins
1996-05-20T00:00:00Z,2.3,3.1,Raw Wins
1996-05-27T00:00:00Z,2.8,3.3,Raw Wins
1996-06-03T00:00:00Z,3,2.3,Nitro Wins
1996-06-10T00:00:00Z,2.6,2.7,Raw Wins
1996-06-17T00:00:00Z,3.4,2.3,Nitro Wins
1996-06-24T00:00:00Z,3.2,2.7,Nitro Wins
1996-07-01T00:00:00Z,3.3,2.6,Nitro Wins
1996-07-08T00:00:00Z,3.5,2.5,Nitro Wins
1996-07-15T00:00:00Z,3.4,2.6,Nitro Wins
1996-07-22T00:00:00Z,2.6,2.2,Nitro Wins
1996-07-29T00:00:00Z,3,2.1,Nitro Wins
1996-08-05T00:00:00Z,3,2.8,Nitro Wins
1996-08-12T00:00:00Z,3.3,2,Nitro Wins
1996-08-19T00:00:00Z,3.5,2.9,Nitro Wins
1996-08-26T00:00:00Z,4.3,,Nitro Wins
1996-09-02T00:00:00Z,4.3,,Nitro Wins
1996-09-09T00:00:00Z,3.7,2.4,Nitro Wins
1996-09-16T00:00:00Z,3.6,2.1,Nitro Wins
1996-09-23T00:00:00Z,3.4,2,Nitro Wins
1996-09-30T00:00:00Z,3.3,2.3,Nitro Wins
1996-10-07T00:00:00Z,3.5,2.1,Nitro Wins
1996-10-14T00:00:00Z,3.2,1.8,Nitro Wins
1996-10-21T00:00:00Z,3.2,2.6,Nitro Wins
1996-10-28T00:00:00Z,3.5,2,Nitro Wins
1996-11-04T00:00:00Z,3.4,2.3,Nitro Wins
1996-11-11T00:00:00Z,3.5,2.5,Nitro Wins
1996-11-18T00:00:00Z,3.2,2.4,Nitro Wins
1996-11-25T00:00:00Z,3.1,2.1,Nitro Wins
1996-12-02T00:00:00Z,3.4,2.3,Nitro Wins
1996-12-09T00:00:00Z,3.1,2.3,Nitro Wins
1996-12-16T00:00:00Z,3.4,2.3,Nitro Wins
1996-12-23T00:00:00Z,3.2,1.5,Nitro Wins
1996-12-30T00:00:00Z,3.5,1.6,Nitro Wins
1997-01-06T00:00:00Z,3.4,2.1,Nitro Wins
1997-01-13T00:00:00Z,3.4,2.3,Nitro Wins
1997-01-20T00:00:00Z,3.7,2.2,Nitro Wins
1997-01-27T00:00:00Z,3.6,2.2,Nitro Wins
1997-02-03T00:00:00Z,3,2.6,Nitro Wins
1997-02-10T00:00:00Z,3.8,,Nitro Wins
1997-02-17T00:00:00Z,2.9,2.1,Nitro Wins
1997-02-24T00:00:00Z,2.9,2.4,Nitro Wins
1997-03-17T00:00:00Z,3.5,2.3,Nitro Wins
1997-03-24T00:00:00Z,3,2.5,Nitro Wins
1997-03-31T00:00:00Z,3.5,2.7,Nitro Wins
1997-04-07T00:00:00Z,3.6,2.2,Nitro Wins
1997-04-14T00:00:00Z,3.4,2.2,Nitro Wins
1997-04-21T00:00:00Z,3.3,2.7,Nitro Wins
1997-04-28T00:00:00Z,2.7,3.4,Raw Wins
1997-05-05T00:00:00Z,2.6,3.4,Raw Wins
1997-05-12T00:00:00Z,2.8,3.2,Raw Wins
1997-05-19T00:00:00Z,3.1,3.6,Raw Wins
1997-05-26T00:00:00Z,3.2,2.7,Nitro Wins
1997-06-02T00:00:00Z,3.3,2.5,Nitro Wins
1997-06-09T00:00:00Z,3.4,2.2,Nitro Wins
1997-06-16T00:00:00Z,3.3,2.4,Nitro Wins
1997-06-23T00:00:00Z,3.2,2.4,Nitro Wins
1997-06-30T00:00:00Z,3.3,2.5,Nitro Wins
1997-07-07T00:00:00Z,3.4,2.5,Nitro Wins
1997-07-14T00:00:00Z,3.5,2.6,Nitro Wins
1997-07-21T00:00:00Z,,4,Raw Wins
1997-08-04T00:00:00Z,4.3,2.6,Nitro Wins
1997-08-11T00:00:00Z,3.8,2.9,Nitro Wins
1997-08-18T00:00:00Z,4,3.2,Nitro Wins
1997-08-25T00:00:00Z,5,,Nitro Wins
1997-09-01T00:00:00Z,4.8,,Nitro Wins
1997-09-08T00:00:00Z,4.3,2.2,Nitro Wins
1997-09-15T00:00:00Z,3.9,2.6,Nitro Wins
1997-09-22T00:00:00Z,3.7,2.4,Nitro Wins
1997-09-29T00:00:00Z,4,2.7,Nitro Wins
1997-10-06T00:00:00Z,3.9,3,Nitro Wins
1997-10-13T00:00:00Z,3.8,2.3,Nitro Wins
1997-10-20T00:00:00Z,4.6,2.9,Nitro Wins
1997-10-27T00:00:00Z,4.3,2.3,Nitro Wins
1997-11-03T00:00:00Z,4,2.6,Nitro Wins
1997-11-10T00:00:00Z,4.3,3.4,Nitro Wins
1997-11-17T00:00:00Z,4.1,3.1,Nitro Wins
1997-11-24T00:00:00Z,3.9,3,Nitro Wins
1997-12-01T00:00:00Z,3.8,3,Nitro Wins
1997-12-08T00:00:00Z,4.3,3,Nitro Wins
1997-12-15T00:00:00Z,4.1,2.7,Nitro Wins
1997-12-22T00:00:00Z,3.5,3.1,Nitro Wins
1997-12-29T00:00:00Z,4.6,3.6,Nitro Wins
1998-01-05T00:00:00Z,4.3,3.3,Nitro Wins
1998-01-12T00:00:00Z,4.6,3.4,Nitro Wins
1998-01-19T00:00:00Z,4.5,4,Nitro Wins
1998-01-26T00:00:00Z,4.7,3.5,Nitro Wins
1998-02-02T00:00:00Z,4.9,3.5,Nitro Wins
1998-02-09T00:00:00Z,4.6,3.2,Nitro Wins
1998-02-16T00:00:00Z,5.1,,Nitro Wins
1998-02-23T00:00:00Z,4.6,3.2,Nitro Wins
1998-03-02T00:00:00Z,4.8,3.8,Nitro Wins
1998-03-09T00:00:00Z,4.9,3.5,Nitro Wins
1998-03-16T00:00:00Z,5.6,,Nitro Wins
1998-03-23T00:00:00Z,4.6,3.6,Nitro Wins
1998-03-30T00:00:00Z,4.2,3.8,Nitro Wins
1998-04-06T00:00:00Z,4.6,4.4,Nitro Wins
1998-04-13T00:00:00Z,4.3,4.6,Raw Wins
1998-04-20T00:00:00Z,5.1,4.4,Nitro Wins
1998-04-27T00:00:00Z,2.3,5.7,Raw Wins
1998-05-04T00:00:00Z,3.5,5.5,Raw Wins
1998-05-11T00:00:00Z,4.3,4.7,Raw Wins
1998-05-18T00:00:00Z,2.5,5.4,Raw Wins
1998-05-25T00:00:00Z,4.2,4.2,Raw Wins
1998-06-01T00:00:00Z,3.7,4.3,Raw Wins
1998-06-08T00:00:00Z,4.1,4.3,Raw Wins
1998-06-15T00:00:00Z,4,4.3,Raw Wins
1998-06-22T00:00:00Z,4.1,4.3,Raw Wins
1998-06-29T00:00:00Z,4.1,5.4,Raw Wins
