Date,Wrestlers,Card,Type of Match,Title Change,Promotion,Title,City,State,Country,Location,Latitude,Longitude
3/26/01,"Shawn Stasiak, Bam Bam Bigelow",Shawn Stasiak defeats Bam Bam Bigelow (1:25),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #286 - Night Of Champions,Panama City Beach,Florida,USA,"Panama City Beach,Florida,USA",30.176591,-85.805488
3/26/01,"Sting, Ric Flair",Sting defeats Ric Flair (7:19),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #286 - Night Of Champions,Panama City Beach,Florida,USA,"Panama City Beach,Florida,USA",30.176591,-85.805488
3/26/01,"Billy Kidman, Rey Mysterio Jr., Elix Skipper, Kid Romeo",Billy Kidman & Rey Mysterio Jr. defeat Elix Skipper & Kid Romeo (c) (4:45) - TITLE CHANGE !!!,Champion In Match,Title Change,World Championship Wrestling,WCW Monday NITRO #286 - Night Of Champions,Panama City Beach,Florida,USA,"Panama City Beach,Florida,USA",30.176591,-85.805488
3/26/01,"Billy Kidman, Rey Mysterio Jr., 3-Count, Evan Karagias, Shannon Moore, The Jung Dragons, Kaz Hayashi, Yang",Billy Kidman & Rey Mysterio Jr. defeat 3-Count (Evan Karagias & Shannon Moore) and The Jung Dragons (Kaz Hayashi & Yang) (3:40),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #286 - Night Of Champions,Panama City Beach,Florida,USA,"Panama City Beach,Florida,USA",30.176591,-85.805488
3/26/01,"Shane Helms, Chavo Guerrero Jr.",Shane Helms (c) defeats Chavo Guerrero Jr. (4:39),Champion In Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #286 - Night Of Champions,Panama City Beach,Florida,USA,"Panama City Beach,Florida,USA",30.176591,-85.805488
3/26/01,"Booker T, Scott Steiner",Booker T (c) [US] defeats Scott Steiner (c) [HW] (5:09) - TITLE CHANGE !!!,Champion In Match,Title Change,World Championship Wrestling,WCW Monday NITRO #286 - Night Of Champions,Panama City Beach,Florida,USA,"Panama City Beach,Florida,USA",30.176591,-85.805488
3/26/01,"Chuck Palumbo, Lance Storm, Mike Awesome",Chuck Palumbo & Sean O'Haire (c) defeat Lance Storm & Mike Awesome (3:23),Champion In Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #286 - Night Of Champions,Panama City Beach,Florida,USA,"Panama City Beach,Florida,USA",30.176591,-85.805488
3/19/01,"Bam Bam Bigelow, Shawn Stasiak",Bam Bam Bigelow defeats Shawn Stasiak (1:44),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #285,Gainesville,Florida,USA,"Gainesville,Florida,USA",29.651634,-82.324826
3/19/01,"Jason Jett, Disqo",Jason Jett defeats Disqo (4:58),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #285,Gainesville,Florida,USA,"Gainesville,Florida,USA",29.651634,-82.324826
3/19/01,"Kanyon, MI Smooth",Kanyon defeats MI Smooth (5:08),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #285,Gainesville,Florida,USA,"Gainesville,Florida,USA",29.651634,-82.324826
3/19/01,"Lance Storm, Mike Awesome, Chuck Palumbo",Lance Storm & Mike Awesome defeat Chuck Palumbo & Sean O'Haire (7:54),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #285,Gainesville,Florida,USA,"Gainesville,Florida,USA",29.651634,-82.324826
3/19/01,"Rick Steiner, Konnan",Rick Steiner defeats Konnan by DQ (5:06),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #285,Gainesville,Florida,USA,"Gainesville,Florida,USA",29.651634,-82.324826
3/19/01,"Shane Helms, Billy Kidman",Shane Helms (c) defeats Billy Kidman (3:41),Champion In Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #285,Gainesville,Florida,USA,"Gainesville,Florida,USA",29.651634,-82.324826
3/12/01,"Booker T, Lex Luger",Booker T defeats Lex Luger (5:42),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #284,Knoxville,Tennessee,USA,"Knoxville,Tennessee,USA",35.960638,-83.920739
3/12/01,"Diamond Dallas Page, Rick Steiner",Diamond Dallas Page defeats Rick Steiner by DQ (5:58),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #284,Knoxville,Tennessee,USA,"Knoxville,Tennessee,USA",35.960638,-83.920739
3/12/01,"Lance Storm, Mike Awesome, The Mamalukes, Big Vito, Johnny The Bull",Lance Storm & Mike Awesome defeat The Mamalukes (Big Vito & Johnny The Bull) (2:45),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #284,Knoxville,Tennessee,USA,"Knoxville,Tennessee,USA",35.960638,-83.920739
3/12/01,"Shane Helms, Evan Karagias",Shane Helms defeats Evan Karagias (6:13),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #284,Knoxville,Tennessee,USA,"Knoxville,Tennessee,USA",35.960638,-83.920739
3/12/01,"Elix Skipper, Kid Romeo, The Jung Dragons, Kaz Hayashi, Yang",Elix Skipper & Kid Romeo defeat The Jung Dragons (Kaz Hayashi & Yang) (5:03),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #284,Knoxville,Tennessee,USA,"Knoxville,Tennessee,USA",35.960638,-83.920739
3/5/01,"Booker T, Diamond Dallas Page, The Steiner Brothers, Rick Steiner, Scott Steiner",Booker T & Diamond Dallas Page defeat The Steiner Brothers (Rick Steiner & Scott Steiner) (9:01),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #283,Greenville,South Carolina,USA,"Greenville,South Carolina,USA",34.852618,-82.39401
3/5/01,"Booker T, Rick Steiner",Booker T defeats Rick Steiner by DQ (5:25),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #283,Greenville,South Carolina,USA,"Greenville,South Carolina,USA",34.852618,-82.39401
3/5/01,"Chavo Guerrero Jr., Shane Helms",Chavo Guerrero Jr. defeats Shane Helms (4:57),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #283,Greenville,South Carolina,USA,"Greenville,South Carolina,USA",34.852618,-82.39401
3/5/01,"Dusty Rhodes, Jeff Jarrett",Dusty Rhodes defeats Jeff Jarrett (0:56),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #283,Greenville,South Carolina,USA,"Greenville,South Carolina,USA",34.852618,-82.39401
3/5/01,"Hugh Morrus, Mike Awesome",Hugh Morrus defeats Mike Awesome (6:16),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #283,Greenville,South Carolina,USA,"Greenville,South Carolina,USA",34.852618,-82.39401
3/5/01,Lex Luger,Sean O'Haire defeats Lex Luger (6:08),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #283,Greenville,South Carolina,USA,"Greenville,South Carolina,USA",34.852618,-82.39401
3/5/01,"Elix Skipper, Kid Romeo, Air Raid, Air Paris, Air Styles",Elix Skipper & Kid Romeo defeat Air Raid (Air Paris & Air Styles) (5:30),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #283,Greenville,South Carolina,USA,"Greenville,South Carolina,USA",34.852618,-82.39401
2/26/01,"Booker T, Diamond Dallas Page, The Cat, Scott Steiner, Totally Buff, Buff Bagwell, Lex Luger","Booker T, Diamond Dallas Page & The Cat defeat Scott Steiner & Totally Buff (Buff Bagwell & Lex Luger) (12:35)",Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #282,New Orleans,Louisiana,USA,"New Orleans,Louisiana,USA",29.951066,-90.071532
2/26/01,"Lance Storm, Mike Awesome, Chuck Palumbo",Lance Storm & Mike Awesome defeat Chuck Palumbo & Sean O'Haire (3:39),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #282,New Orleans,Louisiana,USA,"New Orleans,Louisiana,USA",29.951066,-90.071532
2/26/01,Kanyon,Sean O'Haire defeats Kanyon (4:55),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #282,New Orleans,Louisiana,USA,"New Orleans,Louisiana,USA",29.951066,-90.071532
2/26/01,"Shane Helms, Shannon Moore",Shane Helms defeats Shannon Moore (3:24),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #282,New Orleans,Louisiana,USA,"New Orleans,Louisiana,USA",29.951066,-90.071532
2/26/01,"The Cat, Rick Steiner",The Cat defeats Rick Steiner (6:52),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #282,New Orleans,Louisiana,USA,"New Orleans,Louisiana,USA",29.951066,-90.071532
2/26/01,"Jeff Jarrett, Dustin Rhodes",Jeff Jarrett defeats Dustin Rhodes (8:43),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #282,New Orleans,Louisiana,USA,"New Orleans,Louisiana,USA",29.951066,-90.071532
2/26/01,"Billy Kidman, Rey Mysterio Jr., Jason Lee, Johnny Swinger",Billy Kidman & Rey Mysterio Jr. defeat Jason Lee & Johnny Swinger (5:11),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #282,New Orleans,Louisiana,USA,"New Orleans,Louisiana,USA",29.951066,-90.071532
2/19/01,"Billy Kidman, Konnan, Chavo Guerrero Jr., Road Warrior Animal",Billy Kidman & Konnan defeat Chavo Guerrero Jr. & Road Warrior Animal (5:51),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #281,Huntsville,Alabama,USA,"Huntsville,Alabama,USA",34.730369,-86.586104
2/19/01,"Bryan Clarke, Mike Awesome",Bryan Clarke defeats Mike Awesome by DQ (0:59),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #281,Huntsville,Alabama,USA,"Huntsville,Alabama,USA",34.730369,-86.586104
2/19/01,"Buff Bagwell, The Cat",Buff Bagwell defeats The Cat (6:28),Regular Match,No Title Change,World Championship Wrestling,WCW Monday NITRO #281,Huntsville,Alabama,USA,"Huntsville,Alabama,USA",34.730369,-86.586104
